0 0 -2.6713000000000005
0 3 3.7638586855778735
0 4 -3.7638586855778735
0 5 -2.3986297010721493
0 7 0.5966341818903775
0 8 1.3652289845057246
0 10 2.0541627955500079
0 11 0.5966341818903775
0 14 -0.6889338110442831
0 15 -1.7096958900278663
0 21 -1.7096958900278663
0 22 -0.6889338110442831
0 25 0.5966341818903775
0 26 2.0541627955500079
0 31 3.7638586855778735
0 36 1.3652289845057246
0 37 0.5966341818903775
0 39 -2.3986297010721493
0 41 -3.7638586855778735
1 1 -3.0554875000000017
1 2 -1.0019000000000002
1 3 -1.1027499999999999
1 4 -1.1027499999999999
1 5 -1.9009985491795480
1 7 0.1758039945998195
1 9 -1.3652289845057246
1 10 -0.1015004836068173
1 12 -0.5966341818903775
1 13 -2.0813625000000004
1 14 1.3918953524922026
1 16 1.7096958900278663
1 20 -1.0789250000000006
1 21 0.5091031966873456
1 23 0.6889338110442831
1 25 -1.7342150334467601
1 26 -0.4921463197058372
1 32 3.7638586855778735
1 36 -0.7982485491795480
1 37 0.8524224304885460
1 40 -2.3986297010721493
1 42 -3.7638586855778735
2 1 -1.0019000000000002
2 2 -3.0554875000000017
2 3 -1.1027499999999999
2 4 -1.1027499999999999
2 6 -2.3986297010721493
2 7 0.8524224304885460
2 8 -0.7982485491795480
2 10 -0.4921463197058372
2 11 -1.7342150334467601
2 13 -1.0789250000000006
2 15 0.5091031966873456
2 16 0.6889338110442831
2 20 -2.0813625000000004
2 22 1.3918953524922026
2 23 1.7096958900278663
2 26 -0.1015004836068173
2 27 -0.5966341818903775
2 33 3.7638586855778735
2 37 0.1758039945998195
2 38 -1.3652289845057246
2 39 -1.9009985491795480
2 43 -3.7638586855778735
3 0 3.7638586855778735
3 1 -1.1027499999999999
3 2 -1.1027499999999999
3 3 -4.5142750000000023
3 4 1.0430999999999997
3 6 1.9009985491795480
3 7 -0.9343764587781258
3 9 -0.7982485491795480
3 10 -2.6208250000000004
3 12 -1.7342150334467601
3 14 1.0789250000000006
3 15 2.0813625000000004
3 16 1.9009985491795480
3 21 2.0813625000000004
3 22 1.0789250000000006
3 23 1.9009985491795480
3 26 -2.6208250000000004
3 27 -1.7342150334467601
3 34 3.7638586855778735
3 37 -0.9343764587781258
3 38 -0.7982485491795480
3 40 1.9009985491795480
3 44 -3.7638586855778735
4 0 -3.7638586855778735
4 1 -1.1027499999999999
4 2 -1.1027499999999999
4 3 1.0430999999999997
4 4 -4.5142750000000023
4 5 -3.1602874999999999
4 6 -1.9009985491795480
4 8 1.5419000000000000
4 9 1.1027500000000001
4 11 0.9343764587781258
4 12 1.5584110388469403
4 17 -1.9009985491795480
4 24 -1.9009985491795480
4 25 0.9343764587781258
4 27 1.5584110388469403
4 35 3.7638586855778735
4 36 1.5419000000000000
4 38 1.1027500000000001
4 39 -3.1602874999999999
4 40 -1.9009985491795480
4 45 -3.7638586855778735
5 0 -2.3986297010721493
5 1 -1.9009985491795480
5 4 -3.1602874999999999
5 5 -4.6294800000000027
5 6 -2.5116022294737106
5 7 0.0667056067264966
5 8 -2.2982500000000003
5 9 -0.4921463197058372
5 10 -0.0091650000000003
5 11 0.0667056067264966
5 12 1.5584110388469403
5 18 -2.5116022294737106
5 19 -1.7096958900278663
5 20 -1.9009985491795480
5 21 -1.0522650000000002
5 24 -1.9009985491795480
5 28 1.5584110388469403
5 29 -0.4921463197058372
5 30 2.0541627955500079
5 36 -0.9007550000000002
5 41 -3.1602874999999999
5 42 -1.9009985491795480
5 45 -2.3986297010721493
6 2 -2.3986297010721493
6 3 1.9009985491795480
6 4 -1.9009985491795480
6 5 -2.5116022294737106
6 6 -5.3826375000000022
6 7 -0.8524224304885460
6 8 0.4921463197058372
6 9 0.0770250000000002
6 10 0.7982485491795480
6 11 1.7342150334467601
6 12 -1.2256337924518885
6 18 -1.0789250000000006
6 19 -2.0024990327863650
6 22 -1.9009985491795480
6 23 1.0522650000000002
6 24 -1.9530200000000002
6 28 0.9343764587781258
6 29 2.6208250000000004
6 30 -0.1015004836068173
6 38 0.9007550000000002
6 43 -3.1602874999999999
6 44 1.9009985491795480
6 45 -1.9009985491795480
7 0 0.5966341818903775
7 1 0.1758039945998195
7 2 0.8524224304885460
7 3 -0.9343764587781258
7 5 0.0667056067264966
7 6 -0.8524224304885460
7 7 -4.8560700000000008
7 8 -0.8676708520516290
7 9 -1.9100190280465792
7 10 -0.8676708520516290
7 13 -1.7342150334467601
7 14 -1.2256337924518885
7 15 0.0667056067264966
7 16 1.5584110388469403
7 18 1.7342150334467601
7 19 0.5966341818903775
7 25 -1.9530200000000002
7 27 -1.9009985491795480
7 28 -1.5103527130805283
7 41 0.9343764587781258
7 42 -0.1758039945998195
7 43 -0.8524224304885460
7 44 -0.5966341818903775
8 0 1.3652289845057246
8 2 -0.7982485491795480
8 4 1.5419000000000000
8 5 -2.2982500000000003
8 6 0.4921463197058372
8 7 -0.8676708520516290
8 8 -1.3927050000000030
8 9 -0.4921463197058370
8 11 -0.8676708520516290
8 13 -0.7982485491795480
8 15 -0.0091650000000003
8 17 -1.1027500000000001
8 18 0.4921463197058372
8 19 2.0541627955500079
8 26 -1.0522650000000002
8 29 -0.4921463197058370
8 30 -1.7096958900278663
8 39 -0.9007550000000002
8 41 1.5419000000000000
8 43 -1.1027500000000001
8 45 1.3652289845057246
9 1 -1.3652289845057246
9 3 -0.7982485491795480
9 4 1.1027500000000001
9 5 -0.4921463197058372
9 6 0.0770250000000002
9 7 -1.9100190280465792
9 8 -0.4921463197058370
9 9 -4.8256800000000029
9 12 -0.8676708520516290
9 14 0.7982485491795480
9 16 -0.0091650000000003
9 17 -3.0144499999999992
9 18 2.6208250000000004
9 19 0.1015004836068173
9 26 -1.9009985491795480
9 29 -1.0789250000000006
9 30 -1.0012495163931825
9 40 0.9007550000000002
9 42 -1.5419000000000000
9 44 -1.1027500000000001
9 45 0.7982485491795480
10 0 2.0541627955500079
